"Register Number",Date,Time,Location,"Vehicle Direction",Make,Colour,Photo,Violation,City,"Lane Name","Camera ID"
kl20n5959,20-10-2022,20:10:30,tvm,,,red,URL,,,,
kl20n5959,20-10-2022,20:10:30,tvm,,,red,URL,,,,
kl20n5959,20-10-2022,20:10:30,tvm,,,red,URL,,,,
kl20n5959,20-10-2022,20:10:30,tvm,,,red,URL,,,,
kl20n5959,20-10-2022,20:10:30,tvm,,,red,URL,,,,
kl20n5959,20-10-2022,20:10:30,tvm,,,red,URL,,,,
kl20n5959,20-10-2022,20:10:30,tvm,,,red,URL,,,,
kl20n5959,20-10-2022,20:10:30,tvm,,,red,URL,,,,
kl20n5959,20-10-2022,20:10:30,tvm,,,red,URL,,"test data",,
kl20n5959,20-10-2022,20:10:30,tvm,,,red,URL,,"test data",,
kl20n5959,20-10-2022,20:10:30,tvm,,,red,URL,,"test data",,200
kl20n5959,20-10-2022,20:10:30,tvm,,,red,URL,,"test data",,200
kl20n5959,20-10-2022,20:10:30,tvm,,,red,URL,,"test data",,200
kl20n5959,20-10-2022,20:10:30,tvm,,,red,URL,,"test data",,200
kl20n5959,20-10-2022,20:10:30,tvm,,,red,URL,,,,
kl20n5959,20-10-2022,20:10:30,tvm,,,red,URL,,,,
kl20n5959,20-10-2022,20:10:30,tvm,,,red,URL,,,,
kl20n5959,20-10-2022,20:10:30,tvm,,,red,URL,,,,
kl20n5959,20-10-2022,20:10:30,tvm,,,red,URL,,,,
kl20n5959,20-10-2022,20:10:30,tvm,,,red,URL,,,,
kl20n5959,20-10-2022,20:10:30,tvm,,,red,URL,,,,
kl20n5959,20-10-2022,20:10:30,tvm,,,red,URL,,,,
kl20n5959,20-10-2022,20:10:30,tvm,,,red,URL,,"test data",,
kl20n5959,20-10-2022,20:10:30,tvm,,,red,URL,,"test data",,
kl20n5959,20-10-2022,20:10:30,tvm,,,red,URL,,"test data",,200
kl20n5959,20-10-2022,20:10:30,tvm,,,red,URL,,"test data",,200
kl20n5959,20-10-2022,20:10:30,tvm,,,red,URL,,"test data",,200
kl20n5959,20-10-2022,20:10:30,tvm,,,red,URL,,"test data",,200
kl20n5959,20-10-2022,20:10:30,tvm,,,red,URL,,,,
kl20n5959,20-10-2022,20:10:30,tvm,,,red,URL,,,,
kl20n5959,20-10-2022,20:10:30,tvm,,,red,URL,,,,
kl20n5959,20-10-2022,20:10:30,tvm,,,red,URL,,,,
kl20n5959,20-10-2022,20:10:30,tvm,,,red,URL,,,,
kl20n5959,20-10-2022,20:10:30,tvm,,,red,URL,,,,
kl20n5959,20-10-2022,20:10:30,tvm,,,red,URL,,,,
kl20n5959,20-10-2022,20:10:30,tvm,,,red,URL,,,,
kl20n5959,20-10-2022,20:10:30,tvm,,,red,URL,,"test data",,
kl20n5959,20-10-2022,20:10:30,tvm,,,red,URL,,"test data",,
kl20n5959,20-10-2022,20:10:30,tvm,,,red,URL,,"test data",,200
kl20n5959,20-10-2022,20:10:30,tvm,,,red,URL,,"test data",,200
kl20n5959,20-10-2022,20:10:30,tvm,,,red,URL,,"test data",,200
kl20n5959,20-10-2022,20:10:30,tvm,,,red,URL,,"test data",,200
kl20n5959,20-10-2022,20:10:30,tvm,,,red,URL,,,,
kl20n5959,20-10-2022,20:10:30,tvm,,,red,URL,,,,
kl20n5959,20-10-2022,20:10:30,tvm,,,red,URL,,,,
kl20n5959,20-10-2022,20:10:30,tvm,,,red,URL,,,,
kl20n5959,20-10-2022,20:10:30,tvm,,,red,URL,,,,
kl20n5959,20-10-2022,20:10:30,tvm,,,red,URL,,,,
kl20n5959,20-10-2022,20:10:30,tvm,,,red,URL,,,,
kl20n5959,20-10-2022,20:10:30,tvm,,,red,URL,,,,
kl20n5959,20-10-2022,20:10:30,tvm,,,red,URL,,"test data",,
kl20n5959,20-10-2022,20:10:30,tvm,,,red,URL,,"test data",,
kl20n5959,20-10-2022,20:10:30,tvm,,,red,URL,,"test data",,200
kl20n5959,20-10-2022,20:10:30,tvm,,,red,URL,,"test data",,200
kl20n5959,20-10-2022,20:10:30,tvm,,,red,URL,,"test data",,200
kl20n5959,20-10-2022,20:10:30,tvm,,,red,URL,,"test data",,200
